label,n,p,k,ph,temperature,rainfall,humidity,soil_moisture,soil_type,organic_carbon,sunlight_hours,wind_speed,region,altitude,season,irrigation_type,fertilizer,pesticide,yield
cotton,104,65,90,4.96,26.96,1881.33,77.85,21.8,Silt,0.86,9.12,2.16,East,54,Rabi,Sprinkler,253.49,17.82,7.01
cotton,146,76,74,7.25,18.84,2486.29,81.11,60.82,Loamy,1.59,5.89,10.32,North,744,Zaid,Rainfed,159.4,14.14,7.54
cotton,159,35,41,5.94,33.84,843.05,32.3,34.79,Clay,0.68,8.0,5.73,Central,1132,Zaid,Rainfed,282.08,5.22,8.71
cotton,161,29,37,6.48,36.99,1848.23,49.81,18.24,Loamy,1.06,5.56,12.94,West,720,Kharif,Canal,340.82,18.26,9.86
cotton,44,66,55,7.2,36.65,1606.74,81.89,46.28,Sandy,0.49,7.47,6.84,South,1597,Zaid,Drip,130.99,3.08,5.58
cotton,74,18,79,7.48,27.69,1404.25,60.39,52.17,Silt,1.34,7.57,12.76,East,1346,Kharif,Rainfed,232.29,16.17,8.46
cotton,94,83,44,7.17,36.99,1193.61,85.41,25.43,Loamy,1.56,8.36,8.39,South,1768,Zaid,Sprinkler,141.17,15.6,4.93
cotton,117,55,51,4.85,36.67,1094.92,75.84,42.99,Clay,1.55,7.66,3.44,East,867,Kharif,Canal,105.2,10.7,4.98
cotton,152,83,117,4.88,38.7,2448.51,33.03,24.94,Loamy,0.85,9.39,13.16,South,1838,Kharif,Rainfed,155.43,20.22,7.16
cotton,101,96,120,7.4,11.03,2263.79,54.08,32.5,Loamy,1.06,4.74,17.42,Central,1231,Zaid,Canal,301.42,7.28,9.49
cotton,125,79,63,5.58,22.13,1745.45,83.19,32.75,Silt,0.74,8.85,16.05,West,980,Zaid,Drip,310.63,13.58,8.94
cotton,42,40,49,7.57,17.52,2272.91,35.91,51.8,Sandy,1.37,4.28,15.03,Central,318,Kharif,Rainfed,273.62,16.27,9.33
cotton,100,67,123,5.27,14.8,1011.27,30.88,31.87,Silt,1.59,6.91,2.67,North,1094,Rabi,Drip,342.29,20.0,9.5
cotton,57,40,51,6.43,19.35,2303.39,60.61,30.35,Sandy,1.2,8.98,15.6,West,1829,Kharif,Sprinkler,334.51,22.99,7.67
cotton,59,34,106,8.19,25.67,2717.44,30.57,59.66,Silt,0.44,9.4,16.07,North,562,Rabi,Drip,171.66,5.55,7.23
cotton,104,61,83,7.77,25.7,726.59,47.33,48.0,Clay,0.95,5.49,5.91,Central,2122,Zaid,Drip,313.31,19.81,7.24
