label,n,p,k,ph,temperature,rainfall,humidity,state,year,season,area,production,fertilizer,pesticide,yield
arecanut,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Whole Year ,73814.0,56708,7024878.38,22882.34,0.796086957
arhar/tur,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Kharif     ,6637.0,4685,631643.29,2057.47,0.710434783
castor_seed,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Kharif     ,796.0,22,75755.32,246.76,0.238333333
coconut,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Whole Year ,19656.0,126905000,1870661.52,6093.36,5238.051739
cotton(lint),60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Kharif     ,1739.0,794,165500.63,539.09,0.420909091
dry_chillies,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Whole Year ,13587.0,9073,1293074.79,4211.97,0.643636364
gram,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Rabi       ,2979.0,1507,283511.43,923.49,0.465454545
jute,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Kharif     ,94520.0,904095,8995468.4,29301.2,9.919565217
linseed,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Rabi       ,10098.0,5158,961026.66,3130.38,0.461363636
maize,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Kharif     ,19216.0,14721,1828786.72,5956.96,0.615652174
mesta,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Kharif     ,5915.0,29003,562930.55,1833.65,4.568947368
niger_seed,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Whole Year ,9914.0,5076,943515.38,3073.34,0.482352941
onion,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Whole Year ,7832.0,17943,745371.44,2427.92,2.342608696
other__rabi_pulses,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Rabi       ,108297.0,58272,10306625.49,33572.07,0.520869565
potato,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Whole Year ,75259.0,671871,7162399.03,23330.29,7.561304348
rapeseed_&mustard,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Rabi       ,279292.0,154772,26580219.64,86580.52,0.554782609
rice,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Autumn     ,607358.0,398311,57802260.86,188280.98,0.780869565
rice,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Summer     ,174974.0,209623,16652275.58,54241.94,1.060434783
rice,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Winter     ,1743321.0,1647296,165911859.6,540429.51,0.941304348
sesamum,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Whole Year ,15765.0,8257,1500355.05,4887.15,0.487391304
small_millets,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Kharif     ,10490.0,5391,998333.3,3251.9,0.473
sugarcane,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Kharif     ,31318.0,1287451,2980534.06,9708.58,41.89695652
sweet_potato,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Whole Year ,9380.0,32618,892694.6,2907.8,3.440434783
tapioca,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Whole Year ,2465.0,11728,234594.05,764.15,4.41826087
tobacco,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Whole Year ,433.0,26,41208.61,134.23,0.38
turmeric,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Whole Year ,10071.0,6974,958457.07,3122.01,0.67
wheat,60,18,38,5.8,22.41,1468.92,70.71,Assam,1997,Rabi       ,84698.0,110054,8060708.66,26256.38,1.25952381
