label,n,p,k,temperature,humidity,soil_moisture,soil_type,fertilizer
maize,37,0,0,26.0,52.0,38.0,Sandy,Urea
sugarcane,12,36,0,29.0,52.0,45.0,Loamy,DAP
cotton,7,30,9,34.0,65.0,62.0,Black,14-35-14
tobacco,22,20,0,32.0,62.0,34.0,Red,28-28
paddy,35,0,0,28.0,54.0,46.0,Clayey,Urea
barley,12,13,10,26.0,52.0,35.0,Sandy,17-17-17
cotton,9,10,0,25.0,50.0,64.0,Red,20-20
wheat,41,0,0,33.0,64.0,50.0,Loamy,Urea
millets,21,18,0,30.0,60.0,42.0,Sandy,28-28
oil_seeds,9,30,7,29.0,58.0,33.0,Black,14-35-14
pulses,13,40,0,27.0,54.0,28.0,Clayey,DAP
maize,14,12,15,31.0,62.0,48.0,Sandy,17-17-17
cotton,36,0,0,25.0,50.0,65.0,Loamy,Urea
paddy,24,22,0,32.0,62.0,41.0,Clayey,28-28
ground_nuts,14,41,0,26.0,52.0,31.0,Red,DAP
sugarcane,10,14,13,31.0,62.0,49.0,Black,17-17-17
pulses,38,0,0,33.0,64.0,34.0,Clayey,Urea
barley,21,19,0,25.0,50.0,39.0,Sandy,28-28
cotton,39,0,0,28.0,54.0,65.0,Black,Urea
wheat,13,36,0,29.0,58.0,52.0,Loamy,DAP
millets,10,9,0,30.0,60.0,44.0,Sandy,20-20
sugarcane,12,12,14,34.0,65.0,53.0,Loamy,17-17-17
tobacco,11,37,0,35.0,68.0,33.0,Red,DAP
millets,36,0,0,28.0,54.0,37.0,Black,Urea
paddy,13,10,0,33.0,64.0,39.0,Clayey,20-20
maize,23,20,0,26.0,52.0,44.0,Sandy,28-28
cotton,9,29,9,30.0,60.0,63.0,Red,14-35-14
sugarcane,38,0,0,32.0,62.0,30.0,Loamy,Urea
oil_seeds,12,39,0,37.0,70.0,32.0,Black,DAP
pulses,14,13,0,26.0,52.0,36.0,Clayey,20-20
ground_nuts,24,23,0,29.0,58.0,40.0,Red,28-28
sugarcane,12,40,0,30.0,60.0,27.0,Loamy,DAP
paddy,39,0,0,34.0,65.0,38.0,Clayey,Urea
barley,7,30,9,36.0,68.0,38.0,Sandy,14-35-14
wheat,23,19,0,26.0,52.0,48.0,Loamy,28-28
millets,41,0,0,28.0,54.0,35.0,Black,Urea
cotton,8,31,10,30.0,60.0,61.0,Loamy,14-35-14
paddy,12,41,0,37.0,70.0,37.0,Clayey,DAP
ground_nuts,15,11,14,25.0,50.0,26.0,Red,17-17-17
millets,15,37,0,29.0,58.0,34.0,Sandy,DAP
pulses,13,13,0,27.0,54.0,30.0,Clayey,20-20
sugarcane,10,32,7,30.0,60.0,58.0,Loamy,14-35-14
tobacco,22,24,0,32.0,62.0,34.0,Red,28-28
