label,n,p,k,ph,temperature,rainfall,humidity,soil_type
guinea_corn,40,27,45,5.89,21.66,112.43,94.79,sandy loam
pepper,120,7,47,6.65,24.25,54.77,83.04,loamy clay 
tomatoes,102,11,47,6.5,27.99,27.15,92.78,sandy loam
orange,5,25,6,6.01,30.72,106.81,94.01,loamy
yam,36,43,21,7.14,28.36,52.93,84.86,loamy
maize,94,54,17,5.87,23.39,107.32,61.74,sandy loam
beans,17,59,17,5.69,18.42,132.98,23.43,clay
maize,63,35,16,6.27,22.03,83.73,65.36,sandy loam
yam,10,56,16,6.83,28.17,36.36,81.05,loamy
tomatoes,106,20,51,6.34,29.73,20.49,90.97,sandy loam
guinea_corn,10,5,42,6.89,20.24,109.25,91.09,sandy loam
tomatoes,101,25,52,6.75,29.1,22.52,94.22,sandy loam
soybean,35,63,76,6.71,17.82,90.82,17.61,loamy
tomatoes,102,11,47,6.5,27.99,27.15,92.78,sandy loam
orange,12,8,10,8.0,16.15,107.43,91.44,loamy
beans,12,63,17,5.72,18.36,138.41,19.38,clay
pepper,97,25,50,6.09,26.22,49.09,80.9,loamy clay 
guinea_corn,15,6,41,6.9,19.01,108.68,88.84,sandy loam
yam,9,48,22,6.4,27.77,49.51,87.1,loamy
yam,10,59,22,7.16,28.61,36.95,86.99,loamy
maize,91,55,15,6.38,18.09,78.96,72.61,sandy loam
guinea_corn,39,17,45,6.92,18.1,104.88,90.42,sandy loam
maize,77,57,21,6.55,24.93,79.74,73.8,sandy loam
cassava,40,63,18,6.74,30.42,63.02,67.66,sandy loam
orange,18,14,11,6.55,28.05,117.13,90.01,loamy
guinea_corn,14,25,40,6.41,20.07,103.71,90.98,sandy loam
soybean,27,79,82,6.31,17.07,70.87,17.54,loamy
yam,38,36,21,6.56,28.03,36.12,84.88,loamy
guinea_corn,36,24,41,7.01,24.94,103.88,94.26,sandy loam
rice,81,45,35,6.16,26.53,218.92,80.12,clay
tomatoes,115,12,52,6.69,27.51,21.02,94.96,sandy loam
pepper,90,14,52,6.39,24.85,59.68,89.2,loamy clay 
yam,10,59,15,6.32,29.83,58.87,89.3,loamy
soybean,42,74,83,7.55,19.26,65.78,14.28,loamy
beans,25,63,20,5.5,15.79,95.17,21.15,clay
soybean,22,72,85,6.39,18.87,88.51,15.66,loamy
rice,91,35,39,6.97,23.79,206.26,80.42,clay
rice,83,60,36,6.9,25.6,200.83,80.15,clay
soybean,31,76,82,7.6,20.82,79.21,17.85,loamy
guinea_corn,21,6,41,7.09,24.88,107.2,89.4,sandy loam
beans,28,66,23,6.0,21.54,120.69,24.25,clay
guinea_corn,32,13,42,5.79,23.5,106.62,92.98,sandy loam
cassava,42,61,22,7.42,26.27,70.23,62.29,sandy loam
cassava,41,62,15,7.36,29.38,65.24,64.15,sandy loam
soybean,25,68,77,7.7,20.09,85.75,15.11,loamy
pepper,82,23,49,6.87,26.81,51.7,87.22,loamy clay 
yam,36,55,20,6.64,27.01,55.3,84.34,loamy
cassava,56,79,15,7.45,29.48,71.89,63.2,sandy loam
maize,76,48,18,5.78,19.3,83.21,69.63,sandy loam
soybean,39,76,76,6.14,19.97,69.16,15.57,loamy
cassava,50,74,17,6.54,27.1,73.85,63.36,sandy loam
soybean,60,61,78,6.32,20.71,94.04,19.84,loamy
tomatoes,98,7,45,6.16,27.79,26.85,92.51,sandy loam
pepper,102,14,52,6.51,26.79,57.74,89.65,loamy clay 
pepper,105,30,50,6.38,25.3,57.04,81.78,loamy clay 
soybean,51,72,75,7.1,18.89,80.11,14.99,loamy
soybean,42,67,77,6.11,18.99,78.71,15.94,loamy
cassava,43,61,20,6.8,26.87,63.52,61.61,sandy loam
cassava,20,62,18,7.37,29.36,61.91,64.99,sandy loam
guinea_corn,21,6,41,7.09,24.88,107.2,89.4,sandy loam
soybean,24,55,78,6.65,17.3,75.58,15.15,loamy
maize,77,36,23,6.65,24.71,88.45,56.73,sandy loam
tomatoes,87,21,52,6.07,27.35,27.21,94.29,sandy loam
beans,6,62,22,5.82,20.53,120.45,18.09,clay
orange,30,7,15,7.83,33.23,115.77,91.06,loamy
yam,31,51,25,7.2,27.54,53.02,85.57,loamy
beans,17,64,17,5.66,21.02,124.61,24.94,clay
tomatoes,98,7,45,6.16,27.79,26.85,92.51,sandy loam
guinea_corn,5,13,37,5.65,22.34,103.32,89.79,sandy loam
beans,9,80,19,5.95,21.81,125.1,18.57,clay
guinea_corn,5,24,40,6.3,24.69,104.67,93.87,sandy loam
rice,73,35,38,5.01,24.89,185.95,81.98,clay
rice,74,35,40,6.98,26.49,242.86,80.16,clay
pepper,113,30,50,6.28,26.04,43.88,83.99,loamy clay 
yam,2,47,15,6.4,29.87,58.41,85.99,loamy
beans,3,77,25,5.61,24.85,62.21,22.89,clay
maize,78,58,15,6.53,25.01,62.91,67.82,sandy loam
yam,25,48,21,6.27,28.44,52.55,83.49,loamy
guinea_corn,40,18,43,5.77,19.39,109.91,86.79,sandy loam
beans,37,74,15,5.58,24.92,62.71,18.23,clay
rice,65,37,40,5.33,23.36,188.41,83.6,clay
soybean,57,58,77,7.98,18.73,81.2,17.58,loamy
beans,27,56,20,5.54,19.26,94.95,20.51,clay
beans,8,72,17,5.71,20.57,87.88,19.75,clay
tomatoes,116,25,50,6.09,29.26,28.71,92.92,sandy loam
soybean,27,76,83,6.29,19.13,89.62,14.92,loamy
orange,4,13,6,7.56,15.63,101.47,94.26,loamy
rice,70,36,42,6.95,21.84,202.38,80.73,clay
yam,29,36,25,7.13,28.29,48.57,88.44,loamy
yam,40,58,15,6.98,29.46,43.15,87.61,loamy
maize,71,35,24,5.83,22.27,67.97,59.52,sandy loam
pepper,81,18,50,6.51,26.44,47.82,80.92,loamy clay 
pepper,85,27,45,6.47,26.07,57.8,88.73,loamy clay 
guinea_corn,18,9,40,5.63,19.45,106.16,89.02,sandy loam
soybean,22,72,85,6.39,18.87,88.51,15.66,loamy
maize,89,60,17,5.98,25.38,101.7,57.21,sandy loam
maize,78,37,22,6.33,25.34,74.52,63.32,sandy loam
maize,71,52,18,5.79,25.11,78.16,55.98,sandy loam
beans,27,72,23,5.96,19.93,64.03,21.8,clay
rice,60,36,43,5.29,23.43,219.9,83.06,clay
soybean,35,66,81,6.14,19.37,85.25,15.77,loamy
rice,78,43,42,7.28,21.32,192.32,83.0,clay
pepper,97,8,52,6.24,24.91,49.49,86.97,loamy clay 
yam,21,39,20,7.06,28.14,46.76,82.12,loamy
pepper,93,22,52,6.93,26.59,41.88,81.33,loamy clay 
orange,4,23,5,7.48,22.68,110.33,93.36,loamy
soybean,31,79,75,8.2,18.82,89.73,16.11,loamy
guinea_corn,8,26,36,6.8,18.78,102.52,87.4,sandy loam
soybean,52,60,79,8.38,19.45,75.63,18.23,loamy
beans,23,65,20,5.83,23.04,108.37,22.43,clay
guinea_corn,37,18,39,6.42,24.15,110.23,94.51,sandy loam
rice,95,55,42,5.95,26.8,193.35,82.15,clay
rice,90,44,38,7.47,23.84,241.2,83.88,clay
guinea_corn,5,21,38,6.11,22.43,112.46,90.34,sandy loam
yam,24,53,17,6.42,28.95,57.66,89.08,loamy
rice,91,36,45,5.95,24.44,267.98,82.45,clay
orange,12,8,10,8.0,16.15,107.43,91.44,loamy
soybean,29,75,75,7.06,19.62,88.46,18.71,loamy
orange,14,22,9,6.54,17.25,112.51,91.14,loamy
maize,74,55,19,6.29,18.05,84.24,62.89,sandy loam
yam,36,38,15,6.32,28.36,58.0,87.6,loamy
orange,14,22,9,6.54,17.25,112.51,91.14,loamy
soybean,27,79,82,6.31,17.07,70.87,17.54,loamy
maize,99,39,18,6.11,19.2,87.85,68.31,sandy loam
pepper,90,14,52,6.39,24.85,59.68,89.2,loamy clay 
guinea_corn,3,26,39,7.08,24.38,103.6,91.19,sandy loam
orange,34,11,10,7.36,31.75,115.2,94.6,loamy
tomatoes,90,23,54,6.16,28.56,27.27,90.46,sandy loam
guinea_corn,38,14,37,6.66,21.81,102.65,94.64,sandy loam
pepper,99,5,47,6.65,24.13,51.19,84.84,loamy clay 
soybean,42,74,83,7.55,19.26,65.78,14.28,loamy
beans,9,77,17,5.78,20.12,106.16,24.45,clay
pepper,83,10,53,6.2,24.93,48.76,85.01,loamy clay 
yam,29,45,16,6.58,28.44,43.12,87.91,loamy
pepper,108,22,46,6.12,26.18,53.33,86.73,loamy clay 
soybean,59,69,80,8.17,19.08,69.41,17.87,loamy
pepper,81,6,55,6.11,24.89,51.71,85.87,loamy clay 
beans,40,64,16,5.93,16.43,140.37,24.24,clay
orange,6,13,9,7.79,34.51,118.33,90.56,loamy
tomatoes,107,12,46,6.56,29.57,27.57,93.62,sandy loam
soybean,31,70,77,6.49,20.89,90.46,14.32,loamy
beans,31,55,22,5.87,22.91,109.23,21.34,clay
tomatoes,84,29,49,6.25,29.94,20.39,93.91,sandy loam
orange,20,29,10,7.37,29.07,100.79,93.27,loamy
yam,5,45,21,6.49,28.36,43.05,88.01,loamy
soybean,52,73,79,7.84,17.26,94.0,18.75,loamy
beans,22,71,17,5.51,18.15,107.69,19.39,clay
orange,39,28,10,7.18,31.35,109.15,91.48,loamy
yam,8,45,18,7.01,27.93,43.25,85.42,loamy
