source_file,source_row_id,raw_row_hash,crop_label_raw,crop_label_normalized,crop_label,crop_mapping_rule,crop_mapping_status,is_specific_crop_label,soil_type,ph,n,p,k,soil_moisture,temperature,rainfall,location,year,season,row_fingerprint,feature_fingerprint,is_raw_duplicate_in_source,is_raw_duplicate_after_first,duplicate_keep_source_row_id,is_canonical_duplicate_in_source,canonical_duplicate_group_size,global_fingerprint_group_size,feature_fingerprint_group_size,global_feature_fingerprint_group_size,feature_fingerprint_crop_label_count,has_conflicting_crop_labels_for_features,complete_required_features,has_negative_required_numeric,ph_outside_physical_range,row_quality_status,quality_tier,training_status
Crop Recommendation using Soil Properties and Weather Prediction.csv,1,4109668e58038844e794b26c33816e92591b3763091d5ac639956cc7214c5213,barley,barley,barley,identity,approved,True,,5.81,0.23,5.401,738.231,0.73,,,,,,f01ccf8d6fd0ba6dc868b1fc85f953dea0f15d5571a79fca8e609f6ed29a73a8,1e97376d4f3d59ef08c6d8177c3dea28b8c4e3430027a78b852db1d838ea068c,False,False,1,False,1,1,1,1,1,False,False,False,False,reviewable,needs_semantic_verification,hold
Crop Recommendation using Soil Properties and Weather Prediction.csv,2,01f6cc29fda764ea74f8d2dc932feaa46b51f541d0357071068c2b78d1316f5c,barley,barley,barley,identity,approved,True,,5.43,0.23,10.478,606.382,0.73,,,,,,e668cdf37b4a6ee318d14f29936659848714f88356b9ef34bbd43a035a875a85,93790d4c9830c33e0ab42c948b2e6e5b7c99d0f665f025adddbf95e8e60b4978,False,False,2,False,1,1,1,1,1,False,False,False,False,reviewable,needs_semantic_verification,hold
Crop Recommendation using Soil Properties and Weather Prediction.csv,3,df6058238e39dc11bf6b1d17e11f681dd88272a4d46f2dd469b3f37ff5974884,barley,barley,barley,identity,approved,True,,5.41,0.23,6.847,386.58,0.73,,,,,,65397c5b1b8b79ace41c768e93d8225f564504a64a914f81a6e4aa1f05c1ba0d,e8532f632705856806ddb9975609087267ceb90ac31610374cbee865759166a2,False,False,3,False,1,1,1,1,1,False,False,False,False,reviewable,needs_semantic_verification,hold
Crop Recommendation using Soil Properties and Weather Prediction.csv,4,7aac7ad3452abbb71066be0eed79b391e34f03bf564be7e7a32365db7c481cce,barley,barley,barley,identity,approved,True,,5.65,0.23,3.418,207.086,0.73,,,,,,36d53d02b583c7c295e6f90d77ca352cd8e3d24064a9c994b5591fe8b404db8e,452f4bfe7d4ec3cca2c037cb6993f6f0bdf732c840e677cc71aa2799d6c769c6,False,False,4,False,1,1,1,1,1,False,False,False,False,reviewable,needs_semantic_verification,hold
Crop Recommendation using Soil Properties and Weather Prediction.csv,5,6c1f91386e332c82f48338fd2d197fd611301e4b37bb69973b9d2b57efef89a7,barley,barley,barley,identity,approved,True,,5.27,0.23,39.282,317.357,0.73,,,,,,12d5c047a95279c5366d33a8a6a338a37c81a1e019b1284280f49a9713609a26,1918b8671a52885b087194ededc5d417b3d65ca9fe5149f747555c42067ab857,False,False,5,False,1,1,1,1,1,False,False,False,False,reviewable,needs_semantic_verification,hold
Crop Recommendation using Soil Properties and Weather Prediction.csv,6,bd23aa1d1680b2807aec1e76f105b5b07af3ba564d36b87b9d668149f21389cc,barley,barley,barley,identity,approved,True,,5.06,0.23,8.48,148.437,0.73,,,,,,29d62af27e386e121022c7697639b2761e806ac78e9181da34f8de9b42bdc02e,760947c2cefa87b9889f38ff0eee594f3972526f28cdf8c91c1072909af3e73c,False,False,6,False,1,1,1,1,1,False,False,False,False,reviewable,needs_semantic_verification,hold
Crop Recommendation using Soil Properties and Weather Prediction.csv,7,dda5480adca85e7ce24caf5fd8e2ca6a56af1e24233731e05d90c4e655fef866,barley,barley,barley,identity,approved,True,,5.57,0.23,2.147,303.528,0.73,,,,,,df36a6b78457ebbd4d347113ada38bced4ff3764c8a3f0ec7a02e7f081311f10,0f76d4a6da5cdd141b947002c8297fad7d4c60217c8df40677818e783705ad1e,False,False,7,False,1,1,1,1,1,False,False,False,False,reviewable,needs_semantic_verification,hold
Crop Recommendation using Soil Properties and Weather Prediction.csv,8,cc30ab2fe58a6485f87529006e37a52f1cd64ce31ebe4fb03f65f943f4e8cf63,barley,barley,barley,identity,approved,True,,5.2,0.23,30.3,380.599,0.73,,,,,,100efe9b654b011467cc67615223d172b8874a622a37b2c4915374c0a44cd673,49463db71a31f2eaacc6491b6e4408a2929f795b96acc4033990b966162badd2,False,False,8,False,1,1,1,1,1,False,False,False,False,reviewable,needs_semantic_verification,hold
Crop Recommendation using Soil Properties and Weather Prediction.csv,9,0267918aeb552fa795667aaa2ccdb7bd5cd7801f7536b759937bd98662b1e17f,barley,barley,barley,identity,approved,True,,5.34,0.23,6.382,401.063,0.73,,,,,,3a0f245a9485ec1327782e253829ffb2eaf0221d923e4065c9408a4e1d83c9a9,920e7ff9cd0b5f281bf7cd1bdcf4711c5c5bf4d8c9e9e13b42d2be9b2c32ec35,False,False,9,False,1,1,1,1,1,False,False,False,False,reviewable,needs_semantic_verification,hold
Crop Recommendation using Soil Properties and Weather Prediction.csv,10,222b26471bae165d944c6aa8438fcbadf681484e1995d95975bcae3e98f0ac8d,barley,barley,barley,identity,approved,True,,5.95,0.23,27.577,226.949,0.73,,,,,,f26183d8ae77a4dd222b2bb78368cd8f057c1e7d336ff0f7f75e975569982058,b8a8920786d96d14a71bd46f09d6f9bb5d9ecfec1053f7dea9e477237dc6f444,False,False,10,False,1,1,1,1,1,False,False,False,False,reviewable,needs_semantic_verification,hold
