source_file,source_row_id,raw_row_hash,crop_label_raw,crop_label_normalized,crop_label,crop_mapping_rule,crop_mapping_status,is_specific_crop_label,soil_type,ph,n,p,k,soil_moisture,temperature,rainfall,location,year,season,row_fingerprint,feature_fingerprint,is_raw_duplicate_in_source,is_raw_duplicate_after_first,duplicate_keep_source_row_id,is_canonical_duplicate_in_source,canonical_duplicate_group_size,global_fingerprint_group_size,feature_fingerprint_group_size,global_feature_fingerprint_group_size,feature_fingerprint_crop_label_count,has_conflicting_crop_labels_for_features,complete_required_features,has_negative_required_numeric,ph_outside_physical_range,row_quality_status,quality_tier,training_status
crop_data.csv,1,54fc25452fc2629d14c1df9a02fcdd87cad27311ece1cd1cc69ff5af1e06be89,dragon_fruit,dragon fruit,dragon fruit,identity,approved,True,,5.7,100,55,165,,32.0,1050.0,,,,0b2c34d29e724853989583623ba3a2f706c4ebfa223db3cd653976a70fc65c3e,830be53fcda439d1023f38d38885818ea24cbece0753d357ad11d4f370b94948,False,False,1,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
crop_data.csv,2,dcfc7afa70dbc3c056119b0f50bb9d635f9d33a2362f43b01a4c7af603dc580e,dragon_fruit,dragon fruit,dragon fruit,identity,approved,True,,6.5,100,60,160,,32.0,900.0,,,,431de5cc9877e1ff658752c2f6785276aba88ee8417381f7bf75faa9b78aeea3,a613c5ed102817e1b14bf0559fdf8b7fec130c06ef23db6aebcf6cf389a49e56,False,False,2,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
crop_data.csv,3,6f5711dd0d1090e54245240e3962ece2206c37548f87cf234b509625f9c925db,dragon_fruit,dragon fruit,dragon fruit,identity,approved,True,,6.4,90,30,160,,31.0,900.0,,,,46f2e8873f9c0186c29ef02b053548475be4fa3e5a4b30ee9d12cbd3987d0b1d,95772f3407ecacca86eefcbef6a390218e9d31dd77a6a0a2d3a298fb288685d0,False,False,3,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
crop_data.csv,4,cf01a69ca81e464ede676230a803dcb89c79e057c43d9e4a5038494cc17405bc,dragon_fruit,dragon fruit,dragon fruit,identity,approved,True,,6.0,80,40,150,,30.0,800.0,,,,a3f3e4d3582df03d9899b7b39a0b9f350e4fed15d7a1b3125500a1f96130c3f6,ddba7761211af4767356b2188d4c3f9061366caa99fd74e68febd80ba015d100,False,False,4,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
crop_data.csv,5,172960a781f0d0bc6ef563a14bf8da06fcf0f587e5397aac6d98a02f027063a2,dragon_fruit,dragon fruit,dragon fruit,identity,approved,True,,6.0,80,45,150,,34.0,800.0,,,,16a3c83c0ee4420c23af84aadd1b6c4b89aa672027152c1cc2fd856f77e332df,04dff6afcfa6176d6b341b1885b60925c6a9d3fcbf82d543d7c94a4c9e0aa4bd,False,False,5,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
crop_data.csv,6,41c663d86ec253435d793f534b9de802de03ec62417aafaf0a9585773e47fae2,dragon_fruit,dragon fruit,dragon fruit,identity,approved,True,,5.8,120,50,170,,28.0,950.0,,,,8fef648455f802bff2877096d49ea8ca9cba874cdda49ff5ae22ac455d75882f,e15887cb3b147ae135ea2e65b5d3b80728f9e38d52877b8101e5454d9f823a78,False,False,6,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
crop_data.csv,7,208c522019d27be02eb413a0baa2aa8383a326041066735091e734986d1ec358,dragon_fruit,dragon fruit,dragon fruit,identity,approved,True,,6.3,85,45,155,,30.0,920.0,,,,1ed337df769bb50bdc0cbb0cf5afca90f354001dcd1e90cd9fff43d3cba10d77,f45cfe48b0a32e019db5a41a0ebbf3d492a3c99543d02ccf63c64e2a92644150,False,False,7,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
crop_data.csv,8,180668ec5a04bbd5dcf9575cf812942a6d7b897683a43893a23037ff3adb3b20,dragon_fruit,dragon fruit,dragon fruit,identity,approved,True,,5.9,110,55,180,,29.0,1000.0,,,,ca8f8e250e550d67ce9ff908ca7df1f07a9a98cd837237e92efb6c588ef363d8,2febcc560e21e14e3f24e3de7e157f45cdf37faa63ca2aaf597c922ec06e643e,False,False,8,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
crop_data.csv,9,abed8b05ee191c242e8f9cfb3f45501a0770becc1515ec10c96ca48835258f71,dragon_fruit,dragon fruit,dragon fruit,identity,approved,True,,6.2,70,45,140,,33.0,850.0,,,,ccca7aaba1288a7a5c89b9cbdeb9a999c85be849f47d9d0eb315f032b01b3fc0,9e9e7eb248ab7841481c7c436ae8735f24c473cce213c0ce98e6dfd863749dde,False,False,9,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
crop_data.csv,10,592d3595b7edf7963fb212fd0a06faf546870f2ebfd84b765ef61863bd330168,dragon_fruit,dragon fruit,dragon fruit,identity,approved,True,,6.1,50,40,130,,27.0,750.0,,,,420fe358e34a40839bc86ef9957d0a8064f98d6bec9969138504adfa6a019519,3fb0244587fb53170e2e0914285bb9d32f365f52881ff6d7e0c2d6e1e780ae16,False,False,10,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
