source_file,source_row_id,raw_row_hash,crop_label_raw,crop_label_normalized,crop_label,crop_mapping_rule,crop_mapping_status,is_specific_crop_label,soil_type,ph,n,p,k,soil_moisture,temperature,rainfall,location,year,season,row_fingerprint,feature_fingerprint,is_raw_duplicate_in_source,is_raw_duplicate_after_first,duplicate_keep_source_row_id,is_canonical_duplicate_in_source,canonical_duplicate_group_size,global_fingerprint_group_size,feature_fingerprint_group_size,global_feature_fingerprint_group_size,feature_fingerprint_crop_label_count,has_conflicting_crop_labels_for_features,complete_required_features,has_negative_required_numeric,ph_outside_physical_range,row_quality_status,quality_tier,training_status
Crop and fertilizer dataset.csv,1,023d1e9a4d56dcf62001e4427c9e3d24ae2a7a3295d3e59ed6af0e5581c4cfdb,sugarcane,sugarcane,sugarcane,identity,approved,True,,6.5,75,50,100,,20,1000,kolhapur,,,fbf9512d87ebe35f4f0de5fbf703aa4dd8ad98a58098c03e2200f224ac2b9cde,0af8c0e51ecb24e3677346dc0330b84054196b3eea94505f4b2e7dbe7df82dc5,False,False,1,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
Crop and fertilizer dataset.csv,2,3f83dde40c527ba9697ad4870dd0ca8d52a7ab39b7a3d3a2a19cb57040a0a948,sugarcane,sugarcane,sugarcane,identity,approved,True,,6.5,80,50,100,,20,1000,kolhapur,,,d4db230e84643d2aea53e3bc9493c56d8cb1f3b121d3ecbbbf27c3a05e4cdaa4,011adabd5411a21902192c1129f925c4044e929ee7b08acc1fc562a429a3bb96,False,False,2,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
Crop and fertilizer dataset.csv,3,4d5d42bd635cf48b46c5fe4e1ba634f7ae5c671248afdd64df65fc0e1a699727,sugarcane,sugarcane,sugarcane,identity,approved,True,,6.5,85,50,100,,20,1000,kolhapur,,,f8261ce0fd63715a87a351cead71ab28dec0cb7def6b95c78f81c9ce5ad42e88,57679809db80fd8a81fc155d2f8e49e745b1ec3b5d6be2dec7d9004cdb044e77,False,False,3,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
Crop and fertilizer dataset.csv,4,2d06beb6c28dc7bf5165a7ebd49f0820d4295d7532ae3c17653896686dcd3061,sugarcane,sugarcane,sugarcane,identity,approved,True,,6.5,90,50,100,,20,1000,kolhapur,,,ea6a2990baa06cb8779a74c507c42403bb63c6825d197936269d0e716f9877ea,d443eb0c13ca50317cf5da0f57856af8787bfbeb042ce50f56af8998ec1a5c8e,False,False,4,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
Crop and fertilizer dataset.csv,5,c4bbedbc904646b61ccc061eef54e3eabcea1a92d915cc395ea0a1e561455317,sugarcane,sugarcane,sugarcane,identity,approved,True,,6.5,95,50,100,,20,1000,kolhapur,,,0f2a157361aa4ac3136a9110272e557ea838a530ffe666a92884f6975396d095,a7a4323e784f82d7d5517130ed373ee090cf686066f1c7e5e79bf954fa656494,False,False,5,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
Crop and fertilizer dataset.csv,6,fa5981896a078e77a6da19c9c8e864343f23ac4f94aaf1d13d9c56c20ee7d082,sugarcane,sugarcane,sugarcane,identity,approved,True,,6.5,100,50,100,,20,1000,kolhapur,,,c3c1c455856dc3de62763b04501d60bbc6746e4850b3a651f00020ef14bb9c99,92736184e744d69cf45964e8f11bbe36acd9266b6d6fb04ba4146bc02b3b3e1f,False,False,6,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
Crop and fertilizer dataset.csv,7,2a51ca80b1c6bf1a05f4b11cdd3366492f1e650bf4eac757ac4f16827b6714ae,sugarcane,sugarcane,sugarcane,identity,approved,True,,7.0,75,55,105,,25,1100,kolhapur,,,baacba2effa11722cfe031c30feec2c9994b49b4b5a0cfbe5851d6982601f90d,49ded74f0ed21671b65d8e0b471c9dc7db5a737c15b74510b4e77792a79d6632,False,False,7,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
Crop and fertilizer dataset.csv,8,edc8fd71cf1ce1eddff4318e87692cf61e2c72c2fce836209c697b617a0d9fd3,sugarcane,sugarcane,sugarcane,identity,approved,True,,7.0,80,55,105,,25,1100,kolhapur,,,37519010da5695344b67556223dc7afc45baa35792dfc077786d9b5e4a98c04e,636f8edb9194c2a09843aa5767615ac79aab87a52cb77c0d72465593a7ca2de8,False,False,8,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
Crop and fertilizer dataset.csv,9,6707f742539699f0746aa15731372da59d91b7ca8652803b830054142462a361,sugarcane,sugarcane,sugarcane,identity,approved,True,,7.0,85,55,105,,25,1100,kolhapur,,,e541212042ce964225a175b903ca5ceed936760225e69f69ac985d8a95d1adb9,b7c051fd9c38091e522cf22122273f50b1f45b7592bc0ae0f79057eb501784f8,False,False,9,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
Crop and fertilizer dataset.csv,10,9929cf374cb6e8485325db4008c6f9b32cbbb805241e971d610b140afdf9b0c6,sugarcane,sugarcane,sugarcane,identity,approved,True,,7.0,90,55,105,,25,1100,kolhapur,,,3995829479062bee111f58089068c0ab9423389091a8e475e15c2acd62b7ce77,1aded45e9b44e41fe2b60cb77242b96475482e1ed40f42b6c4c59bbb358c47b2,False,False,10,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
