source_file,source_row_id,raw_row_hash,crop_label_raw,crop_label_normalized,crop_label,crop_mapping_rule,crop_mapping_status,is_specific_crop_label,soil_type,ph,n,p,k,soil_moisture,temperature,rainfall,location,year,season,row_fingerprint,feature_fingerprint,is_raw_duplicate_in_source,is_raw_duplicate_after_first,duplicate_keep_source_row_id,is_canonical_duplicate_in_source,canonical_duplicate_group_size,global_fingerprint_group_size,feature_fingerprint_group_size,global_feature_fingerprint_group_size,feature_fingerprint_crop_label_count,has_conflicting_crop_labels_for_features,complete_required_features,has_negative_required_numeric,ph_outside_physical_range,row_quality_status,quality_tier,training_status
data_core.csv,1,72755fff2e610064adcf48846334b3b8adc66df4cea5074bee84cb1d07e3ebcf,maize,maize,maize,identity,approved,True,sandy,,37,0,0,38.0,26.0,,,,,bce79968b352aa92dcb67c92d984eb123b5a190f174697ab404b660f92c9e784,0ba37a290d93a427d046067d5c9ebf9d8e6eaf02d302c68e1cb8454490efd3f5,False,False,1,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
data_core.csv,2,3e58f5e847337db4726c3ffe00c0a62099b6c3ed2ec48a2af7c56179056e53e0,sugarcane,sugarcane,sugarcane,identity,approved,True,loamy,,12,36,0,45.0,29.0,,,,,1c920ea7b33081a735811296fa66cb6c586d37c9d2a4f4aaa472b416d8f3c046,29bc133f78285a3d5f05c830af97c8c823332cfd0124ae537c5477410afc9308,False,False,2,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
data_core.csv,3,7fcc03239d6be155d42263ce2280b4149db8fea9af86bd40deb659d43d24f2ce,cotton,cotton,cotton,identity,approved,True,black,,7,30,9,62.0,34.0,,,,,0660518e66c6a8efa1bb4e56d44821b24c6907b36fa52f492b3e2901708fadb2,d986f178ba17e97b0332fef482587bae291076465f412dbe4a8694969bfada9c,False,False,3,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
data_core.csv,4,837b4f2de73abe7c22ed023f8df7b00569a6c09e4f24f09d26cafd6e241a1ade,tobacco,tobacco,tobacco,identity,approved,True,red,,22,20,0,34.0,32.0,,,,,026ba1397d78e2fd81eefc2271a5ec4008a97e6b26ceb356989edfe1cc493633,d6438ada6905336a09315f97bb9896fae39153cc737452f76d2d313181e9c68b,False,False,4,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
data_core.csv,5,cb735e5611172f6228d06f951a6f4eb0b88c7760c70ef57ad19ca3fefc3eb5ea,paddy,paddy,rice,common_name_synonym,approved,True,clayey,,35,0,0,46.0,28.0,,,,,d03308262b03f5737b97ac151bb4c4206ade0c759fbf628e2aec2080c42cffe0,6215badb17bbd4e0caa346060dc499fd34fe945f69d8a56e60d96704d169dcd3,False,False,5,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
data_core.csv,6,d4f22e5055f62db98585be0b8f6fce4aa2680b4db0728eaf67801a7b55d7aba2,barley,barley,barley,identity,approved,True,sandy,,12,13,10,35.0,26.0,,,,,ea8fe8f1ed867fa1ce9f6006633d96cfaf700c23170f755528e9d82beda5300c,cc2cfd2e18a4ede8b67411745a4cae1abd4146834698174fc8a4efb5a61fd25c,False,False,6,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
data_core.csv,7,c6bdd435e5da87a495112e5db69346969600535d9982a12349a0a95a17f0fe4b,cotton,cotton,cotton,identity,approved,True,red,,9,10,0,64.0,25.0,,,,,d367baff5a3c3b994846d3189b9eeb002563e5808b43b1029b7b76db4922f59c,e014afb25d38ba6aeb9267691c33e5da117026ed1579ae279fb1f00ab4936b13,False,False,7,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
data_core.csv,8,b303695a0e00b16123642d3e7dc5df4b5553c80ccc65420f57b26ba3d4fcb574,wheat,wheat,wheat,identity,approved,True,loamy,,41,0,0,50.0,33.0,,,,,728040cbe09dee2a17b0650f58a219e90f00011bc64ce7893911774878159b94,f0bed64dd2a1f66c2b4ecec2998849f21ba2c3291c129a304f36d1b2c1f59f50,False,False,8,False,1,1,1,1,1,False,False,False,False,reviewable,reference_only,hold
data_core.csv,9,7e4e31c64cb72e6003858340a0cda116a8bfa33e0d83bd32e755be34c2fd1c90,millets,millets,millets,non_specific_or_ambiguous_target,excluded,False,sandy,,21,18,0,42.0,30.0,,,,,266dd37b9b4bc0b9ea3d790f82559952cbfaa9017a048eb438efd5d275c1f5e9,9a5e6d313a80e83ab4695b5b48b4359b698e63a39acea35faf582e3f747b1485,False,False,9,False,1,1,1,1,1,False,False,False,False,exclude_non_specific_crop,reference_only,hold
data_core.csv,10,e2fb4c85e7e92a76a4b16fbf67cbfad9479e1836f823af3643803c27e9b522e0,oil_seeds,oil seeds,oil seeds,non_specific_or_ambiguous_target,excluded,False,black,,9,30,7,33.0,29.0,,,,,8a7785a9b9e069dd445a5104aa0869455047139547c88f8235fa3cf5b6ce4177,696c091581118fbaaa8356286d40933940d4165113c410059492939425a13c93,False,False,10,False,1,1,1,1,1,False,False,False,False,exclude_non_specific_crop,reference_only,hold
