source_file,source_row_id,raw_row_hash,crop_label_raw,crop_label_normalized,crop_label,crop_mapping_rule,crop_mapping_status,is_specific_crop_label,soil_type,ph,n,p,k,soil_moisture,temperature,rainfall,location,year,season,row_fingerprint,feature_fingerprint,is_raw_duplicate_in_source,is_raw_duplicate_after_first,duplicate_keep_source_row_id,is_canonical_duplicate_in_source,canonical_duplicate_group_size,global_fingerprint_group_size,feature_fingerprint_group_size,global_feature_fingerprint_group_size,feature_fingerprint_crop_label_count,has_conflicting_crop_labels_for_features,complete_required_features,has_negative_required_numeric,ph_outside_physical_range,row_quality_status,quality_tier,training_status
original_dataset.csv,1,c7256bf95adeb645b786e97b63b69ea352aab9b76fb226c2b7ab32af449323f5,guinea_corn,guinea corn,sorghum,common_name_synonym,approved,True,sandy loam,5.89,40,27,45,,21.66,112.43,,,,796f6ad9349d94af9634bba46d3e0554b9bd71881decc560c2e73870e1b46a5f,eec0ca563802f840defe402c30bf38489c5c7c980b4c650c7dc03bf0f1d5980b,True,False,1,False,1,1,1,1,1,False,False,False,False,reviewable,quarantine,exclude_v1
original_dataset.csv,2,9c473e53a007be2c2fcca627a5acb69398f1cbb21b1aec0f49fe910a946f6c2e,pepper,pepper,pepper,identity,approved,True,loamy clay,6.65,120,7,47,,24.25,54.77,,,,13058167d2f73474d809faa7a8a5bbdfd1fd670ab45f853992e715dbffc6ed73,8071ab06fe6f007aa183eeee8586c0bdcc1d6e94be3168e645871e863d95c0dc,True,False,2,False,1,1,1,1,1,False,False,False,False,reviewable,quarantine,exclude_v1
original_dataset.csv,3,328d7dc01d6e756fe7df670c9d607b699065182357edcfe2b164424fe344785d,tomatoes,tomatoes,tomato,plural_variant,approved,True,sandy loam,6.5,102,11,47,,27.99,27.15,,,,4ac8c4c26e89ab877a87929b8922af077a7e0e9f6e5838c2593b69a226fe6bd3,3ed6160dcf347cb77fcae5fab23e378f5337806c271c8b926e6937d147c27be7,True,False,3,False,1,1,1,1,1,False,False,False,False,reviewable,quarantine,exclude_v1
original_dataset.csv,4,463c006243e37ea31ee440e80766c9a2ad27f6e5252a1eaf8cae3bfafdcbe7c8,orange,orange,orange,identity,approved,True,loamy,6.01,5,25,6,,30.72,106.81,,,,86365022837227bee64c6f7fb24051810d9efd6b61f34a5f4fdddc930315e5dd,ddada953f684b3d1a659e63cf47132100f7dbd6c807f8c2968eb667b559ab20b,False,False,4,False,1,1,1,1,1,False,False,False,False,reviewable,quarantine,exclude_v1
original_dataset.csv,5,98c289b4e925b34a7bf03a262897c9523dce342dbc16177f8b164628822679c5,yam,yam,yam,identity,approved,True,loamy,7.14,36,43,21,,28.36,52.93,,,,4d0c745806c7f413272fe201e4f9d37d68ed43ed28944bd9234a59f7b6a8a57b,916fe822079146ac9a3da71b6f4e9a8d3eba746e42a983d6cff02d3cab2c8927,True,False,5,False,1,1,1,1,1,False,False,False,False,reviewable,quarantine,exclude_v1
original_dataset.csv,6,0eb7bebb693626439050b6c9d25d65eab958178fa6228f2fae15661bb21fc7ec,maize,maize,maize,identity,approved,True,sandy loam,5.87,94,54,17,,23.39,107.32,,,,1c6d1d612cef15bfcd7852d231d04c2b4b55ce1bb27bf9bdb484576e3f232ff1,538467106f128ad9d2fe60d35be4246d9c5f55d3b60247f099f362698273c754,True,False,6,False,1,1,1,1,1,False,False,False,False,reviewable,quarantine,exclude_v1
original_dataset.csv,7,621bfc844024f78ae10a4b76d68322cf76f28afc441bf50e416c6d2832aa659c,beans,beans,beans,identity,approved,True,clay,5.69,17,59,17,,18.42,132.98,,,,4cc6530c4b4ffae01bf269fd6568fc6c5da57c753051e10771e44542ec4dcb45,f1856b575a846c786d13b66acd487878fcb7ace40bd17a36cabe4e33175ac4e6,True,False,7,False,1,1,1,1,1,False,False,False,False,reviewable,quarantine,exclude_v1
original_dataset.csv,8,ff018934fe5a1e67ad87877280c93fbd177620bad023a84afac70d0859c4c3c6,maize,maize,maize,identity,approved,True,sandy loam,6.27,63,35,16,,22.03,83.73,,,,9d813a54d919dd939c48af33bbc4f641c32f5223cf4880c1a4e5b694d523484e,68ecae592eaecc4a17f121986c83fa356d109d3f3ae4027c1a600a12fabaca89,True,False,8,False,1,1,1,1,1,False,False,False,False,reviewable,quarantine,exclude_v1
original_dataset.csv,9,2caef64cae282ae8f0e7c7785b4abcff15da52c83a43ee71940013508bff2dbe,yam,yam,yam,identity,approved,True,loamy,6.83,10,56,16,,28.17,36.36,,,,7ce1184e7d5dd96774b2e54d6ab66987df4faecdbacc89b866313125abf1ddec,e65ec1eba7bf2eaeea38c50c5fe5f8d4b7dc6eaa3b2b5f6e6d6855fd34b4e144,True,False,9,False,1,1,1,1,1,False,False,False,False,reviewable,quarantine,exclude_v1
original_dataset.csv,10,c1a8c3baf5a7dd644989197c640b77dcb2407bd16cc7e83ebec09823bdb31ef6,tomatoes,tomatoes,tomato,plural_variant,approved,True,sandy loam,6.34,106,20,51,,29.73,20.49,,,,e39bf4b1ee9ebcba222eadb0fb7d4d9253a86eeaab5772ee7b8c97b739016bc4,fa301ea48bdfbefddf941c0a9e7c4bd411f10664fbdd92010d5fc5c5ac58425d,True,False,10,False,1,1,1,1,1,False,False,False,False,reviewable,quarantine,exclude_v1
