feature,split,minimum,maximum,mean,median
n,train,0.0,140.0,50.455844155844154,37.0
n,validation,0.0,131.0,50.554545454545455,37.0
n,test,0.0,140.0,50.9969696969697,36.0
p,train,5.0,145.0,53.29220779220779,51.0
p,validation,5.0,145.0,53.09090909090909,51.0
p,test,5.0,145.0,53.96363636363636,51.0
k,train,5.0,205.0,48.128571428571426,32.0
k,validation,5.0,205.0,48.00909090909091,31.0
k,test,6.0,205.0,48.38484848484848,32.0
ph,train,3.504752314,9.93509073,6.469761890957792,6.433124634
ph,validation,3.532008668,9.416003106,6.4444548125090915,6.391743781000001
ph,test,3.558822825,9.406887533,6.493190131396971,6.423557634
temperature,train,8.825674745,43.36051537,25.583074754463638,25.504148620000002
temperature,validation,9.851242629,42.93605359,25.752284864360604,25.779624615
temperature,test,9.949929082,43.67549305,25.634991960006058,25.7257265
rainfall,train,20.21126747,298.5601175,103.35497203847403,94.72184873500001
rainfall,validation,20.36001144,290.6793783,103.50773745100001,95.43515753
rainfall,test,20.76223014,286.5083725,103.92676247457577,95.48593836500001
